Category,Name,Price,Stars,Subcategory,Best Seller
Face,Apricot Dream Cheek & Lip Cream Stack,$5.49,5.0,Blush,0
Face,Skin Magnet High Coverage Foundation Stick-Linen,$10.99,4.5,Foundation,0
Face,Skinfinite Hydrating Foundation-Linen,$10.99,4.6,Foundation,0
Face,Flush Crush Cream Blush Palette-Blushing Bouquet,$9.49,4.0,Blush,0
Face,Hello Kitty｜SHEGLAM Jelly Amor Hydrating Primer,$7.99,0.0,Primer,0
Face,Rick and Morty X SHEGLAM Never Ricking Morty Setting Powder,$10.49,5.0,Powder,0
Face,Sunburst Glow Mixer Sample-Light,$1.99,0.0,Primer,0
Face,Radiance Ring 3-In-1 Correcting Setting Powder,$7.99,0.0,Powder,0
Face,Freck Please Freckle Tint-Dark Chocolate,$4.99,4.9,Contour & Bronzer,0
Face,Violet Flush Blush,$5.49,4.9,Blush,0
Face,Bright Eyes Cooling Concealer-Pink Pearl,$7.49,4.3,Concealer,0
Face,Perfect Skin High Coverage Concealer-Linen,$6.49,4.5,Concealer,0
Face,Monarch Wings Ombré Blush & Highlighter,$6.99,0.0,Blush,0
Face,Complexion Pro Long Lasting Breathable Matte Foundation-Linen,$10.99,4.7,Foundation,0
Face,Color & Sculpt Stick-Pearl & Sand,$5.99,4.9,Contour & Bronzer,0
Face,Cheek 2 Cheek Blush Duo-Peach Juice,$6.99,4.8,Blush,0
Face,Skin-Focus High Coverage Powder Foundation-Linen,$9.99,4.9,Foundation,0
Face,Sunburst Glow Mixer-Pearly White,$9.99,0.0,Primer,0
Face,Snatch 'N' Blush Stick-Wild Love,$5.99,4.9,Blush,0
Face,Ember Rose Eternal Flame Cream Blush-Love Language,$5.99,5.0,Blush,0
Face,Full Coverage Foundation Balm-Linen,$9.99,4.8,Foundation,0
Face,Lunar Glow Highlighter Set,$37.99,5.0,Highlighter,0
Face,Harley Quinn X SHEGLAM Mischief Mallet Blush Stick-Big Swing,$6.99,5.0,Blush,0
Face,Color Bloom Dayglow Liquid Blush Shimmer Finish-Float On,$5.99,4.8,Blush,0
Face,Like Magic Color Correcting Concealer-White,$5.99,5.0,Concealer,0
Face,Cheeky Color Jam-Carnation Dreams,$5.49,5.0,Blush,0
Face,Full Coverage Foundation Balm Sample-Linen,$0.89,0.0,Foundation,0
Face,Hello Kitty｜SHEGLAM True Love Dewy Multi-Use Balm-Whiskers,$7.99,0.0,Blush,0
Face,Skinfinite Hydrating Foundation Sample-Linen,$0.79,4.4,Foundation,0
Face,Party Starter Body Highlighter Glitter Gel-Feelin' Extra,$4.49,5.0,Highlighter,0
Face,Stereo Face Six-Nude,$9.49,4.7,Contour & Bronzer,0
Face,Complexion Pro Long Lasting Breathable Matte Foundation Sample-Linen,$0.79,3.7,Foundation,0
Face,Cheeky Color Jam Set,$29.99,5.0,Blush,0
Face,Care Bears X SHEGLAM Catch Some Fun Highlighting Puff-Sparkle 4Ever,$4.79,4.4,Highlighter,0
Face,Care Bears X SHEGLAM Cuddle Time Blush-Thrill Seeker,$7.49,5.0,Blush,0
Face,Festive Glow Gift Set-Love Cake & Vanilla Frost,$11.99,4.5,Blush,0
Eyes,Set Me Up Brow Gel,$4.49,4.6,Eyebrow,1
Eyes,Pro Precision Waterproof Liquid Eyeliner-Black,$4.49,4.9,Eyeliner,1
Eyes,Think Sharp Eyeliner,$3.79,5.0,Eyeliner,1
Eyes,All-In-One Volume & Length Mascara,$8.49,4.7,Mascara,1
Eyes,Pro-Flex Angled Eyeliner,$3.99,5.0,Eyeliner,1
Eyes,Crystal Jelly Glaze Stick-Rosy Gem,$7.99,4.9,Eyeshadow,1
Eyes,EZ Glide Matte Eyeliner Pencil,$3.99,4.7,Eyeliner,1
Eyes,Max Impact Extreme Volumizing Mascara,$5.99,4.6,Mascara,1
Eyes,Wonka Bar Eyeshadow Palette,$8.99,4.9,Eyeshadow,1
Eyes,Streamline Brow & Eyeliner Gel,$5.99,0.0,Eyeliner,1
Eyes,All-In-One 24k Multi-Effect Mascara,$8.99,5.0,Mascara,1
Eyes,Flutter Wink Volumizing Mascara,$5.49,5.0,Mascara,1
Eyes,Berry Palette,$8.99,4.9,Eyeshadow Palette,1
Eyes,On-Line Creamy Eyeliner-Black,$3.99,4.8,Eyeliner,1
Eyes,Marilyn Monroe X SHEGLAM A Poet's Lover Liquid Eyeliner,$4.99,5.0,Eyeliner,1
Eyes,Harry Potter™ X SHEGLAM Monster Book Of Monsters Palette,$14.99,5.0,Eyeshadow Palette,1
Eyes,Live To Roam Palette,$8.49,5.0,Eyeshadow Palette,1
Eyes,Gro-Pro Nourishing Lash Serum,$4.99,0.0,Lashes,1
Eyes,Glitter Wizard Invisible Jelly Shadow-Moonlight Stroll,$3.99,4.7,Eyeshadow,1
Eyes,Lash Besties 2-In-1 Mascara,$5.99,0.0,Mascara,0
Eyes,Enigma Sparkly Eyeshadow-Pure,$2.99,4.0,Eyeshadow,1
Eyes,Big Time Eyes Volumizing Mascara,$5.49,5.0,Mascara,0
Eyes,All-In-One Volume & Length Mascara-Waterproof Brugundy,$8.49,4.6,Mascara,1
Eyes,Save Lt Laminating Brow Gel,$3.99,4.3,Eyebrow,1
Eyes,Jazy Jigsaw Eyeshadow Palette-Love N' Taupe,$8.99,4.8,Eyeshadow,0
Eyes,Insta-Party Glitter Liner-Disco Ball,$4.99,4.7,Eyeliner,0
Eyes,EZ Control Hair Removal Pen & EZ Control Soothing Toner,$7.49,0.0,Eyebrow,1
Eyes,Adventure Time | SHEGLAM Land Of Ooo Palette,$15.99,0.0,Eyeshadow Palette,1
Eyes,Eternal Beauty Liquid Eyeliner-Black,$3.99,4.8,Eyeliner,1
Eyes,Brows On Demand 2-In-1 Brow Pencil-Taupe,$3.99,4.9,Eyebrow,1
Eyes,Clean Queen Mascara Remover,$5.49,4.8,Mascara,0
Eyes,Wing It Waterproof Liner Duo-Brown,$4.99,4.5,Eyeliner,0
Eyes,Insta-Eyes Dual Tone Shadow Stick-Rose,$4.99,4.6,Eyeshadow,0
Eyes,Moonlight Eyeshadow Palette,$9.99,4.8,Eyeshadow,0
Eyes,Nude Beginnings Palette,$7.99,5.0,Eyeshadow Palette,0
Eyes,Intensify Smudge-Proof Eyeliner Gel-Brown,$4.49,4.7,Eyeliner,0
Eyes,Centuries Palette,$9.99,4.6,Eyeshadow Palette,0
Eyes,Deep Feelings Palette,$7.99,4.6,Eyeshadow Palette,0
Eyes,On-Line Dual Eyeliner-Black,$4.99,5.0,Eyeliner,0
Eyes,Fairy Wand Precision Highlighter Pencil-Cloud,$3.99,4.8,Eyeliner,0
Eyes,Jelly Wow Eyeshadow Pop-Nova Glow,$3.99,4.8,Eyeshadow,0
Eyes,Starry Wish Liquid Eyeshadow Trio-North Star,$7.49,4.6,Eyeshadow,0
Eyes,The Powerpuff Girls X SHEGLAM The Professor's Girls Palette-The Leader,$9.99,0.0,Eyeshadow Palette,0
Eyes,Cursed Chrysalis Palette,$9.99,0.0,Eyeshadow Palette,0
